Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Wholesale Furniture Brokers
aquarius-3-piece-set-including-a-desk-with-single-pedestal-and-two-storage-units-with-8-cubbies,Aquarius 3-Piece Set Including a Desk with Single Pedestal and 2 Storage Units with 8 Cubbies - Available in 4 Colours,Colour,Deep Grey & White,,,,,114851-000032,,,0
aquarius-3-piece-set-including-a-desk-with-single-pedestal-and-two-storage-units-with-8-cubbies,Aquarius 3-Piece Set Including a Desk with Single Pedestal and 2 Storage Units with 8 Cubbies - Available in 4 Colours,Colour,Rustic Brown & Graphite,,,,,114851-000009,,,0
pur-dresser-with-3-drawers,Pur Dresser with 3 Drawers - Available in 2 Colours,Colour,Bark Grey,,,,,112250-000047,,,-50
pur-dresser-with-3-drawers,Pur Dresser with 3 Drawers - Available in 2 Colours,Colour,White,,,,,112250-000017,,,-50
pur-nightstand-with-drawer,Pur Nightstand with Drawer - Available in 2 Colours,Colour,Bark Grey,,,,,112240-000047,,,-50
pur-nightstand-with-drawer,Pur Nightstand with Drawer - Available in 2 Colours,Colour,White,,,,,112240-000017,,,-50
pur-full-platform-bed,Pur Full Platform Bed - Available in 2 Colours,Colour,Bark Grey,,,,,112221-000047,,,-50
pur-full-platform-bed,Pur Full Platform Bed - Available in 2 Colours,Colour,White,,,,,112221-000017,,,-50
pur-twin-platform-bed,Pur Twin Platform Bed - Available in 2 Colours,Colour,Bark Grey,,,,,112220-000047,,,-50
pur-twin-platform-bed,Pur Twin Platform Bed - Available in 2 Colours,Colour,White,,,,,112220-000017,,,-50
universel-nesting-office-chairs-set-of-2-red-black,Universel Nesting Office Chairs (Set of 2) - Red & Black,Colour,Red & Black,,,,,CHA-FOLD1036-11,,,55
embassy-u-shaped-executive-desk-with-pedestal-and-hutch-walnut-grey,Embassy U-Shaped Executive Desk with Pedestal and Hutch - Walnut Grey,Colour,Walnut Grey,,,,,60857-000035,,,0
i3-plus-l-shaped-desk-available-in-2-colours,i3 Plus L-Shaped Desk - Available in 2 Colours,Colour,Bark Grey & White,,,,,160852-4717,,,0
i3-plus-l-shaped-desk-available-in-2-colours,i3 Plus L-Shaped Desk - Available in 2 Colours,Colour,Bark Grey,,,,,160852-47,,,0
universel-dual-monitor-arm,Universel Dual Monitor Arm - Available in 2 Colours,Colour,Black,,,,,AK-MA01D-18,,,30
universel-dual-monitor-arm,Universel Dual Monitor Arm - Available in 2 Colours,Colour,White,,,,,AK-MA01D-17,,,0
prestige-corner-desk-with-pedestal,Prestige+ Corner Desk with Pedestal - Available in 3 Colours,Colour,Antigua,,,,,99899-52,,,0
prestige-corner-desk-with-pedestal,Prestige+ Corner Desk with Pedestal - Available in 3 Colours,Colour,Bordeaux & Graphite,,,,,99899-39,,,0
prestige-corner-desk-with-pedestal,Prestige+ Corner Desk with Pedestal - Available in 3 Colours,Colour,Bark Grey & Slate,,,,,99899-000047,,,0
prestige-2-piece-set-including-a-standing-desk-and-a-desk-with-hutch,Prestige+ 2-Piece Set Including a Standing Desk and a Desk with Hutch - Available in 3 Colours,Colour,Antigua,,,,,99886-52,,,0
prestige-2-piece-set-including-a-standing-desk-and-a-desk-with-hutch,Prestige+ 2-Piece Set Including a Standing Desk and a Desk with Hutch - Available in 3 Colours,Colour,Bordeaux & Graphite,,,,,99886-39,,,0
prestige-2-piece-set-including-a-standing-desk-and-a-desk-with-hutch,Prestige+ 2-Piece Set Including a Standing Desk and a Desk with Hutch - Available in 3 Colours,Colour,Bark Grey & Slate,,,,,99886-000047,,,0
prestige-2-piece-set-including-a-standing-desk-and-a-desk,Prestige+ 2-Piece Set Including a Standing Desk and a Desk - Available in 3 Colours,Colour,Antigua,,,,,99885-52,,,0
prestige-2-piece-set-including-a-standing-desk-and-a-desk,Prestige+ 2-Piece Set Including a Standing Desk and a Desk - Available in 3 Colours,Colour,Bordeaux & Graphite,,,,,99885-39,,,0
prestige-2-piece-set-including-a-standing-desk-and-a-desk,Prestige+ 2-Piece Set Including a Standing Desk and a Desk - Available in 3 Colours,Colour,Bark Grey & Slate,,,,,99885-000047,,,0
