Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Wholesale Furniture Brokers
walker-edison-wave-mid-century-modern-dual-oval-glass-coffee-table,Wave Mid Century Modern Dual Oval Glass Coffee Table,Title,Default Title,,,,,C38B4,,,0
walker-edison-lowell-mixed-material-coffee-table,Lowell Mixed Material Coffee Table - Available in 3 Colours,Colour,Marble,,,,,C42LWSQMB,,,0
walker-edison-lowell-mixed-material-coffee-table,Lowell Mixed Material Coffee Table - Available in 3 Colours,Colour,Dark Walnut,,,,,C42LWSQDW,,,34
walker-edison-lowell-mixed-material-coffee-table,Lowell Mixed Material Coffee Table - Available in 3 Colours,Colour,Dark Concrete,,,,,C42LWSQDC,,,0
walker-edison-farmhouse-barn-door-58-tv-console,"Farmhouse Barn Door 58"" TV Console - Available in 5 Colours",Colour,Stone Grey,,,,,W58BDSDST,,,23
walker-edison-farmhouse-barn-door-58-tv-console,"Farmhouse Barn Door 58"" TV Console - Available in 5 Colours",Colour,White Oak,,,,,W58BDSDWO,,,64
walker-edison-farmhouse-barn-door-58-tv-console,"Farmhouse Barn Door 58"" TV Console - Available in 5 Colours",Colour,Barnwood,,,,,W58BDSDBW,,,26
walker-edison-farmhouse-barn-door-58-tv-console,"Farmhouse Barn Door 58"" TV Console - Available in 5 Colours",Colour,Grey Wash,,,,,W58BDSDGW,,,146
walker-edison-farmhouse-barn-door-58-tv-console,"Farmhouse Barn Door 58"" TV Console - Available in 5 Colours",Colour,Rustic Oak,,,,,W58BDSDRO,,,144
walker-edison-2-piece-curved-18-inch-metal-nesting-tables,2 Piece Curved 18 inch Metal Nesting Tables - Available in 2 Colours,Colour,Rustic Oak / Black,,,,,AF18CURWSTRO,,,0
walker-edison-2-piece-curved-18-inch-metal-nesting-tables,2 Piece Curved 18 inch Metal Nesting Tables - Available in 2 Colours,Colour,Grey Wash / Black,,,,,AF18CURWSTGW,,,0
walker-edison-18-grooved-door-side-table,"18"" Grooved Door Side Table - Available in 3 Colours",Colour,Reclaimed Barnwood,,,,,AF18CRASTRO,,,0
walker-edison-18-grooved-door-side-table,"18"" Grooved Door Side Table - Available in 3 Colours",Colour,Grey Wash,,,,,AF18CRASTGW,,,0
walker-edison-18-grooved-door-side-table,"18"" Grooved Door Side Table - Available in 3 Colours",Colour,Dark Walnut,,,,,AF18CRASTDW,,,0
walker-edison-17-modern-metal-glass-side-table-with-magazine-holder,"17"" Modern Metal & Glass Side Table with Magazine Holder",Title,Default Title,,,,,AF17EVNSTBL,,,21
walker-edison-16-troy-square-side-table,"16"" Troy Square Side Table - Available in 3 Colours",Colour,Reclaimed Barnwood,,,,,AF16TRYSTRO,,,14
walker-edison-16-troy-square-side-table,"16"" Troy Square Side Table - Available in 3 Colours",Colour,Gray Wash,,,,,AF16TRYSTGW,,,0
walker-edison-16-troy-square-side-table,"16"" Troy Square Side Table - Available in 3 Colours",Colour,Dark Walnut,,,,,AF16TRYSTDW,,,20
walker-edison-modern-round-end-table,Modern Round End Table - Available in 2 Colours,Colour,Faux White Marble/Gold,,,,,AF16RCSTWM,,,38
walker-edison-modern-round-end-table,Modern Round End Table - Available in 2 Colours,Colour,Glass/Chrome,,,,,AF16RCSTGL,,,0
walker-edison-lowell-16-inch-modern-square-side-table,Lowell 16 Inch Modern Square Side Table - Available in 3 Colours,Colour,Faux White Marble,,,,,AF16LWSTWM,,,54
walker-edison-lowell-16-inch-modern-square-side-table,Lowell 16 Inch Modern Square Side Table - Available in 3 Colours,Colour,Dark Walnut,,,,,AF16LWSTDW,,,0
walker-edison-lowell-16-inch-modern-square-side-table,Lowell 16 Inch Modern Square Side Table - Available in 3 Colours,Colour,Dark Concrete,,,,,AF16LWSTDC,,,48
walker-edison-modern-glam-square-side-table,Modern Glam Square Side Table - Available in 3 Colours,Colour,Faux White Marble/Gold,,,,,AF16LUXWMG,,,66
walker-edison-modern-glam-square-side-table,Modern Glam Square Side Table - Available in 3 Colours,Colour,Faux White Marble/Chrome,,,,,AF16LUXMCR,,,0
walker-edison-modern-glam-square-side-table,Modern Glam Square Side Table - Available in 3 Colours,Colour,Dark Walnut/Gold,,,,,AF16LUXDWG,,,31
